title,category,code,name,lecturer,grade,class,season,time
2025年度,理工学部,55709500,機器分析化学,高椋　利幸　他,4年,専門科目(A1),後期,月１
2025年度,理工学部,55710500,化学技術者倫理,成田　貴行　他,4年,専門科目(A1),前期,月２
2025年度,理工学部,55713000,機能物質化学実験Ⅱ,山田　泰教　他,4年,専門科目(A1),後期,月４、月５、木４、木５
2025年度,理工学部,55713500,機能物質化学実験Ⅲ,竹下　道範　他,4年,専門科目(A1),前期,月４、月５、木４、木５
2025年度,理工学部,55714000,機能物質化学実験Ⅳ,坂口　幸一　他,4年,専門科目(A1),後期,月４、月５、木４、木５
2025年度,理工学部,55714500,卒業研究,川喜田　英孝　他,4年,専門科目(A1),前期,時間割外
2025年度,理工学部,57801000,微分積分学B及び演習,杉　剛直,4年,専門科目(A1),後期,集中講義
2025年度,理工学部,57804500,情報処理演習,堂薗　浩,4年,専門科目(A1),後期,火４
2025年度,理工学部,57804500,情報処理演習,西山　英輔,4年,専門科目(A2),後期,月４
2025年度,理工学部,57807000,複素関数論,猪原　哲,4年,専門科目(A1),前期,月１
2025年度,理工学部,57810000,電気回路A及び演習,福本　尚生,4年,専門科目(A1),前期,火１、金２
2025年度,理工学部,57810500,電気回路B及び演習,郭　其新　他,4年,専門科目(A1),後期,月１、金２
2025年度,理工学部,57811500,電気回路D及び演習,原　重臣,4年,専門科目(A1),前期,火５
2025年度,理工学部,57812000,電磁気学A及び演習,田中　徹,4年,専門科目(A2),前期,火３、木３
2025年度,理工学部,57812500,電磁気学B及び演習,村松　和弘,4年,専門科目(A1),後期,火４、木３
2025年度,理工学部,57813500,電磁気学D及び演習,豊田　一彦,4年,専門科目(A1),後期,木４
2025年度,理工学部,57814000,電子回路A及び演習,王　瑞敏,4年,専門科目(A1),後期,木５
2025年度,理工学部,57814500,電子回路B及び演習,大石　敏之,4年,専門科目(A1),前期,月１
2025年度,理工学部,57815000,技術英語,今村　真幸　他,4年,専門科目(A1),後期,時間割外
2025年度,理工学部,57815500,技術者倫理,嘉数　誠,4年,専門科目(A1),後期,月２
2025年度,理工学部,57818000,卒業研究,伊藤　秀昭　他,4年,専門科目(A1),前期,時間割外
2025年度,理工学部,58639000,卒業研究,,,専門科目(A1),,
2025年度,理工学部,R0001011,理工リテラシーS1,杉　剛直　他,1年,専門科目(A1),前期,時間割外
2025年度,理工学部,R0001071,理工特別セミナー（半導体概論）,大石　敏之　他,1年,専門科目(A1),前期,集中講義
2025年度,理工学部,R0001072,理工特別セミナー（量子物理学の発展）,高橋　智　他,4年,専門科目(A1),前期,集中講義
2025年度,理工学部,R0002012,理工リテラシーS2,岩﨑　淳,2年,専門科目(A1),前期,時間割外
2025年度,理工学部,R0002012,理工リテラシーS2,廣友　雅徳　他,2年,専門科目(A2),前期,時間割外
2025年度,理工学部,R0002012,理工リテラシーS2,藤澤　知績,2年,専門科目(A3),前期,時間割外
2025年度,理工学部,R0002012,理工リテラシーS2,橘　基　他,2年,専門科目(A4),前期,時間割外
2025年度,理工学部,R0002012,理工リテラシーS2,鶴　若菜,2年,専門科目(A5),前期,時間割外
